商品名,URL,画像URL,価格,数量,状态
HG 1/144 シラヌイアカツキガンダム　未組立品,https://jp.mercari.com/item/m14622826354,https://static.mercdn.net/c!/w=240/thumb/photos/m14622826354_1.jpg?1750650197,¥,"3,400",未組立
ガンプラ　RG フリーダムガンダム ZGMF-X10A 新品未組立品,https://jp.mercari.com/item/m99413229619,https://static.mercdn.net/c!/w=240/thumb/photos/m99413229619_1.jpg?1748511293,¥,"4,000",未組立
SDガンダム　シャア専用ズゴック　プラモデ　未組立,https://jp.mercari.com/item/m78545085676,https://static.mercdn.net/c!/w=240/thumb/photos/m78545085676_1.jpg?1752281092,¥,"2,999",未組立
RG ブラストインパルスガンダム Spec II 未組立品,https://jp.mercari.com/item/m29283654303,https://static.mercdn.net/c!/w=240/thumb/photos/m29283654303_1.jpg?1752407027,¥,"6,450",未組立
ガンプラ hg aoz バーザム　レジオン鹵獲仕様 新品　内袋未開封　未組立,https://jp.mercari.com/item/m28671738179,https://static.mercdn.net/c!/w=240/thumb/photos/m28671738179_1.jpg?1745228149,¥,"4,980",未組立
ガンプラ　ザク II FZ タイプB (ユニコーンVer.) 新品未組立品,https://jp.mercari.com/item/m73326171702,https://static.mercdn.net/c!/w=240/thumb/photos/m73326171702_1.jpg?1751789558,¥,"2,900",未組立
機動戦士ガンダム00 ガンプラ　hg オーガンダム　新品　未組立　未開封,https://jp.mercari.com/item/m51734223779,https://static.mercdn.net/c!/w=240/thumb/photos/m51734223779_1.jpg?1752395279,¥,"3,480",未組立
【新品・未組立】 RG 1/144 フルアーマーユニコーンガンダム ＊同梱可能,https://jp.mercari.com/item/m62491333014,https://static.mercdn.net/c!/w=240/thumb/photos/m62491333014_1.jpg?1752315986,¥,"7,880",未組立
【未組立】 HG ガンダムX、ガンダムDX、ガンダムXディバイダー、エアマスター,https://jp.mercari.com/item/m19895303293,https://static.mercdn.net/c!/w=240/thumb/photos/m19895303293_1.jpg?1752393851,¥,"12,000",未組立
ビルドストライクガンダム　ソリッドクリア,https://jp.mercari.com/item/m12520791812,https://static.mercdn.net/c!/w=240/thumb/photos/m12520791812_1.jpg?1751703554,¥,"1,699",未組立
HG トランジエントガンダム　未組立,https://jp.mercari.com/item/m57412311561,https://static.mercdn.net/c!/w=240/thumb/photos/m57412311561_1.jpg?1752340634,¥,"2,700",未組立
ガンプラ hg ガンダム age fx バースト　新品　内袋未開封　未組立,https://jp.mercari.com/item/m82493688600,https://static.mercdn.net/c!/w=240/thumb/photos/m82493688600_1.jpg?1745301942,¥,"7,000",未組立
HGUC 1/144 AMX-107 バウ,https://jp.mercari.com/item/m58518861235,https://static.mercdn.net/c!/w=240/thumb/photos/m58518861235_1.jpg?1752387492,¥,"2,300",未組立
1/144 シャア専用ズゴック 未組立,https://jp.mercari.com/item/m54262270034,https://static.mercdn.net/c!/w=240/thumb/photos/m54262270034_1.jpg?1752395249,¥,"1,480",未組立
ガンプラ未組立　2個　RGガンダム2.0、HGバーザム（クリアー）,https://jp.mercari.com/item/m92377491739,https://static.mercdn.net/c!/w=240/thumb/photos/m92377491739_1.jpg?1752416867,¥,"7,800",未組立
【未組立】HGガンプラ MS-07B GOUF グフ 1/144,https://jp.mercari.com/item/m57800469857,https://static.mercdn.net/c!/w=240/thumb/photos/m57800469857_1.jpg?1752403196,¥,"2,300",未組立
HGザクⅡ 新品 未組立品 バンダイ,https://jp.mercari.com/item/m96727684384,https://static.mercdn.net/c!/w=240/thumb/photos/m96727684384_1.jpg?1749044655,¥,"3,700",未組立
G賞 EG νガンダム ソリッドクリア【新品】,https://jp.mercari.com/item/m40340429747,https://static.mercdn.net/c!/w=240/thumb/photos/m40340429747_1.jpg?1752388046,¥,"1,450",未組立
HGBF ガンダムビルドファイターズAR ガンダムシュバルツリッター 1/144,https://jp.mercari.com/item/m10575777015,https://static.mercdn.net/c!/w=240/thumb/photos/m10575777015_1.jpg?1752409370,¥,"3,980",未組立
HF6122 未組立 RG 1/144 量産型ズゴック,https://jp.mercari.com/item/m39397259340,https://static.mercdn.net/c!/w=240/thumb/photos/m39397259340_1.jpg?1752419259,¥,"3,880",未組立
新品 オプションパーツガンプラ15 キャバリアーアイフリッド 未組立品 1,https://jp.mercari.com/item/m72527958835,https://static.mercdn.net/c!/w=240/thumb/photos/m72527958835_1.jpg?1752403231,¥,"3,480",未組立
新品未開封 MGSDガンダム バルバトス アイアンブラッドコーティング,https://jp.mercari.com/item/m14024097687,https://static.mercdn.net/c!/w=240/thumb/photos/m14024097687_1.jpg?1752421397,¥,"9,200",未組立
FG 1/144 MS-06F ザクII【新品未開封】,https://jp.mercari.com/item/m93075939779,https://static.mercdn.net/c!/w=240/thumb/photos/m93075939779_1.jpg?1752386417,¥,"1,500",未組立
ENTRY GRADE 1/144 νガンダム　セブン-イレブン限定カラー,https://jp.mercari.com/item/m73014378066,https://static.mercdn.net/c!/w=240/thumb/photos/m73014378066_1.jpg?1752388379,¥,"2,200",未組立
RG XXXG-00W0 ウイングガンダムゼロ EW ZGMF-X20A ストラ,https://jp.mercari.com/item/m80786177547,https://static.mercdn.net/c!/w=240/thumb/photos/m80786177547_1.jpg?1752406704,¥,"7,810",未組立
ガンプラ hg ライトニングバックウェポンシステム　未組立　内袋未開封,https://jp.mercari.com/item/m87391201460,https://static.mercdn.net/c!/w=240/thumb/photos/m87391201460_1.jpg?1752391222,¥,"3,000",未組立
BANDAI SPIRITS RG 1/144 新機動戦記ガンダムW ガンダムエピオン,https://jp.mercari.com/shops/product/AmgRVewJpMUzwheENm3XrC,https://assets.mercari-shops-static.com/-/small/plain/vBufPjqtySBLRzLgmTLgxk.jpg@webp,¥,"3,630",未組立
ガンプラ 新品未組立 HG イフリート_ナハト ガンダム プラモデル バンダイ,https://jp.mercari.com/item/m39672223755,https://static.mercdn.net/c!/w=240/thumb/photos/m39672223755_1.jpg?1752409964,¥,"4,150",未組立
1/144 ジムⅡ,https://jp.mercari.com/item/m40670933550,https://static.mercdn.net/c!/w=240/thumb/photos/m40670933550_1.jpg?1752393994,¥,"1,030",未組立
機動戦士ガンダム 未組立 1/144 旧キットガンプラ △,https://jp.mercari.com/item/m33953836550,https://static.mercdn.net/c!/w=240/thumb/photos/m33953836550_1.jpg?1752125365,¥,"1,290",未組立
HGガンプラ まとめ売り【未組立】,https://jp.mercari.com/item/m51254503154,https://static.mercdn.net/c!/w=240/thumb/photos/m51254503154_1.jpg?1748807111,¥,"8,300",未組立
【最終値下げ】ガンプラまとめ売り HGガンプラ未組立品6体セット,https://jp.mercari.com/item/m22359920813,https://static.mercdn.net/c!/w=240/thumb/photos/m22359920813_1.jpg?1751594156,現在 ¥,"13,800",未組立
XXXG-01H ガンダムヘビーアームズ(クリアカラー) 【未使用品】,https://jp.mercari.com/item/m91310685764,https://static.mercdn.net/c!/w=240/thumb/photos/m91310685764_1.jpg?1752370756,¥,"3,280",未組立
ガンプラ hg　ライトニングバックウェポンシステムMK-Ⅱ 未組立 内袋未開封,https://jp.mercari.com/item/m89379989552,https://static.mercdn.net/c!/w=240/thumb/photos/m89379989552_1.jpg?1752392178,¥,"3,980",未組立
未組立品 HG サーペントカスタム メタルクリヤー特別版,https://jp.mercari.com/item/m70195045914,https://static.mercdn.net/c!/w=240/thumb/photos/m70195045914_1.jpg?1752416418,¥,"2,980",未組立
,,,,,未組立
機動戦士ガンダム 鉄血のオルフェンズ ガンダムバルバトス 第6形態 1/100ス,https://jp.mercari.com/item/m18561779345,https://static.mercdn.net/c!/w=240/thumb/photos/m18561779345_1.jpg?1752418256,¥,"6,300",未組立
ガンプラHG未組立　フリーダム4種　定価割れ　まとめ売り,https://jp.mercari.com/item/m23896204733,https://static.mercdn.net/c!/w=240/thumb/photos/m23896204733_1.jpg?1752302737,¥,"9,900",未組立
SDW HEROES レイフガンダム、窮奇ストライクフリーダムガンダムほか全8体,https://jp.mercari.com/item/m15529358939,https://static.mercdn.net/c!/w=240/thumb/photos/m15529358939_1.jpg?1752419412,¥,"6,666",未組立
ガンダム00　ガンプラ hg ガンダムアストレアタイプf 新品　未組立,https://jp.mercari.com/item/m85822600559,https://static.mercdn.net/c!/w=240/thumb/photos/m85822600559_1.jpg?1744719477,¥,"3,980",未組立
新品未組立２個セット　HG 1/144 ガンダムジリウス,https://jp.mercari.com/item/m83161915650,https://static.mercdn.net/c!/w=240/thumb/photos/m83161915650_1.jpg?1752349448,¥,"14,444",未組立
